Names,Status,Location,Laps,TotalLaps,Battery,ActiveTime,IdleTime,ReturnTime
Sharon,Patrolling,1,3,172,7.00,3267.0876627,3415.93816781,104.948084831
Boomer,Patrolling,5,9,295,7.00,5364.68520904,1317.58070922,194.112527847
Tigh,Patrolling,4,9,206,7.00,3654.90880466,3118.08585811,136.925335884
Sharon,Patrolling,0,0,172,-0.37,3267.0876627,3415.93816781,104.948084831
Caprica,Patrolling,1,4,229,7.00,4151.82090402,2367.10431504,138.501219034
Sharon,Charging,3,0,172,-2849.34,3390.0933938,3415.93816781,153.825491905
Caval,Patrolling,2,1,407,7.00,5000.52896094,1783.84277701,124.509469032
Leoben,Patrolling,6,9,194,7.00,3757.69507957,3150.79059696,98.2382009029
Boomer,Patrolling,5,9,305,7.00,5562.20869303,1317.58070922,194.112527847
Caval,Patrolling,1,9,417,7.00,5194.93629885,1783.84277701,124.509469032
Caprica,Patrolling,0,9,239,7.00,4604.24563384,2367.10431504,138.501219034
Tigh,Patrolling,4,9,216,7.00,3869.65814877,3118.08585811,136.925335884
Leoben,Patrolling,6,9,204,7.00,3885.95751166,3150.79059696,98.2382009029
Hera,Patrolling,2,9,283,7.00,4960.53885388,2020.98733807,163.671238184
Boomer,Patrolling,5,9,315,7.00,5715.34941602,1317.58070922,194.112527847
Caval,Patrolling,1,9,427,7.00,5348.90967083,1783.84277701,124.509469032
Hera,Patrolling,2,9,293,7.00,5113.67502284,2020.98733807,163.671238184
Leoben,Patrolling,6,9,214,7.00,4049.57247758,3150.79059696,98.2382009029
Caprica,Patrolling,0,9,249,7.00,4797.49036765,2367.10431504,138.501219034
Tigh,Patrolling,4,9,226,7.00,4111.13790083,3118.08585811,136.925335884
Hera,Patrolling,2,9,303,7.00,5279.37635469,2020.98733807,163.671238184
Caval,Patrolling,1,9,437,7.00,5565.86910367,1783.84277701,124.509469032
Caprica,Patrolling,0,9,259,7.00,4974.94827962,2367.10431504,138.501219034
Boomer,Patrolling,5,9,325,7.00,5972.35148501,1317.58070922,194.112527847
Leoben,Patrolling,6,9,224,7.00,4262.40310168,3150.79059696,98.2382009029
Tigh,Patrolling,4,9,236,7.00,4259.98353887,3118.08585811,136.925335884
Caprica,Patrolling,0,3,262,-62.79,4974.94827962,2367.10431504,138.501219034
Caval,Patrolling,1,3,440,7.00,5565.86910367,1783.84277701,124.509469032
Caprica,Charging,3,3,265,-3632.88,5038.6572485,2367.10431504,189.024741173
Hera,Patrolling,2,7,310,7.00,5279.37635469,2020.98733807,163.671238184
Leoben,Patrolling,6,6,230,-46.60,4262.40310168,3150.79059696,98.2382009029
Boomer,Patrolling,5,9,335,7.00,6149.49517918,1317.58070922,194.112527847
Boomer,Patrolling,5,1,336,7.00,6149.49517918,1317.58070922,194.112527847
Leoben,Charging,3,6,236,-5020.35,4390.95568371,3150.79059696,159.704461813
Tigh,Patrolling,4,9,246,7.00,4454.09091496,3118.08585811,136.925335884
Boomer,Patrolling,6,0,336,-217.32,6149.49517918,1317.58070922,194.112527847
Tigh,Patrolling,4,0,246,7.00,4454.09091496,3118.08585811,136.925335884
Caval,Patrolling,0,9,450,7.00,5837.85266566,1783.84277701,124.509469032
Boomer,Charging,3,0,336,-5822.32,6209.93833232,1317.58070922,251.627287865
Anders,Patrolling,2,9,286,7.00,5022.75872469,2583.46938491,200.505690813
Sharon,Patrolling,4,0,172,7.00,3390.0933938,4242.80298972,153.825491905
Hera,Patrolling,1,9,320,7.00,5640.35581374,2020.98733807,163.671238184
Sharon,Charging,3,0,172,7.00,3414.50118089,4242.80298972,185.580000877
Sharon,Patrolling,3,0,172,7.00,3414.50118089,4242.80298972,185.580000877
Tigh,Patrolling,5,4,250,-5.34,4454.09091496,3118.08585811,136.925335884
Tigh,Patrolling,6,0,250,-980.08,4454.09091496,3118.08585811,136.925335884
Caval,Patrolling,0,9,460,7.00,5998.90007854,1783.84277701,124.509469032
Caprica,Patrolling,4,0,265,7.00,5038.6572485,2685.62091613,189.024741173
Tigh,Charging,3,0,250,-8640.25,4638.01763701,3118.08585811,195.18491292
Hera,Patrolling,1,9,330,7.00,5794.01848984,2020.98733807,163.671238184
Anders,Patrolling,2,9,296,7.00,5206.97044683,2583.46938491,200.505690813
Caprica,Patrolling,5,2,267,7.00,5038.6572485,2685.62091613,189.024741173
Leoben,Patrolling,4,1,237,7.00,4390.95568371,3424.18113899,159.704461813
Caval,Patrolling,0,9,470,7.00,6159.20073938,1783.84277701,124.509469032
Hera,Patrolling,1,9,340,7.00,5975.47506976,2020.98733807,163.671238184
Anders,Patrolling,2,9,306,7.00,5387.15877199,2583.46938491,200.505690813
Caprica,Patrolling,6,9,277,7.00,5299.35284758,2685.62091613,189.024741173
Caval,Patrolling,0,9,480,7.00,6301.87183332,1783.84277701,124.509469032
Leoben,Patrolling,5,9,247,7.00,4646.70004272,3424.18113899,159.704461813
Boomer,Patrolling,4,9,346,7.00,6421.18790627,1604.54248309,251.627287865
